PowTotAct_Min,Inj1PosVolAct_Var,Inj1PrsAct_meanOfInjPhase,Inj1HopTmpAct_1stPCscore,Inj1HtgEd3Act_1stPCscore,ClpFceAct_1stPCscore,ClpPosAct_1stPCscore,OilTmp1Act_1stPCscore,mass
306,478.331766129021,123.405622807019,-173.050480061839,-96.2399563063167,-88.1112577730792,-147.644714190978,-128.6678327901,33.2001
-1308,471.696622203074,114.550873903509,-175.409531586088,-82.4311238640806,110.597428990923,-147.64742992369,-165.391806310752,33.0389
1109,468.663671730405,99.6197445175447,-171.303165848752,-209.6448019191,59.1764244021254,-147.624127101025,-113.201691632076,32.9664
1087,480.839626986495,123.119799342106,-168.868790263662,-61.7142131222742,-148.035543209573,-147.633365069857,-131.841505814861,33.2764
1100,475.450905974605,115.340037280702,-174.879284128932,-91.6101745312078,113.157970820403,-147.61946924745,-165.391230830282,33.0381
-727,475.877574204547,113.185981359649,-168.216459403579,-86.8821547530626,115.177864088719,-147.642670934108,-157.935632561777,33.0418
335,467.344703403451,100.139951754387,-172.828973288435,-220.820085927888,67.272994840164,-147.623117429069,-113.200803136749,32.9641
672,474.750244404,114.676412280701,-171.028109414872,-89.2392936269663,108.276767633147,-147.638233951237,-165.393462425036,33.0472
1019,470.425517060699,100.215077850878,-173.729775519186,-219.212208776058,70.0094506071968,-147.620413004265,-113.200498683925,32.9675
1247,479.174611963801,123.13023135965,-173.875632470541,-89.5487515712529,-68.9806517399318,-146.656362017399,-131.796037831286,33.2137
-1158,481.413607263826,123.286025219299,-171.920266307653,-87.6178978862756,-112.648623758279,-147.636719597925,-131.841573404423,33.2806
-357,470.677167439658,100.248591008773,-168.793088625572,-221.428294873818,82.1471193875592,-147.640256394026,-109.472464514274,32.9666
-1366,473.473284163642,115.176682017544,-172.54160918628,-87.3795113843305,110.460648905913,-147.636607325028,-165.394248373553,33.0348
-1073,473.997215507271,114.489161184211,-178.696540038561,-93.7767686543501,116.583824809828,-147.626816139115,-161.667257916558,33.0369
-1161,478.835079222297,123.083309210528,-175.128320654988,-96.2150358536457,-97.0451567397119,-147.624983628201,-128.439667580424,33.2117
-592,474.408975317589,112.430810307018,-170.583232914298,-92.7982119690704,105.583043048728,-131.603393297131,-150.962148826978,33.0309
-203,468.604947051951,100.638081140352,-172.599390626785,-190.056791236899,90.5304553362493,-147.627172569202,-105.745660698804,32.9754
1030,473.151087293242,116.125851973684,-168.527194603162,-88.6095101278674,105.288362499979,-147.63560027871,-165.393908164986,33.03
587,474.934240960279,114.258103070176,-167.95369132933,-85.9523765251961,120.190668701743,-147.64985564526,-157.938319253796,33.0524
411,466.260018871643,100.6402766191,-168.881694026903,-215.267194268551,63.8086337305732,-147.619407620023,-113.202187325642,32.9674
1121,481.804707115962,123.087324561404,-170.612785781442,-85.9298837545144,-133.106592831112,-147.642298813876,-131.841280472689,33.2816
7,470.946267895461,116.389469298246,-175.476591908992,-96.73427613908,113.022305935389,-147.650335648672,-159.825313280467,33.0408
-273,474.026871683082,112.75809758772,-170.478125139015,-77.4601526658414,100.100435229677,-131.577127220666,-161.666772024137,33.0241
-281,474.762680944684,114.139813596491,-173.821089176162,-103.802411955288,115.485870605518,-147.641749491959,-164.604219672618,33.0395
