 

stn;time;gre000z0
STG;202107231300;787
STG;202107231310;635
STG;202107231320;806
STG;202107231330;733
STG;202107231340;720
STG;202107231350;789
STG;202107231400;816
STG;202107231410;701
STG;202107231420;701
STG;202107231430;763
STG;202107231440;671
STG;202107231450;494
STG;202107231500;595
STG;202107231510;616
STG;202107231520;582
STG;202107231530;556
STG;202107231540;517
STG;202107231550;490
STG;202107231600;447
STG;202107231610;424
STG;202107231620;396
STG;202107231630;325
STG;202107231640;291
STG;202107231650;348
STG;202107231700;180
STG;202107231710;150
STG;202107231720;163
STG;202107231730;188
STG;202107231740;181
STG;202107231750;86
STG;202107231800;47
STG;202107231810;43
STG;202107231820;60
STG;202107231830;45
STG;202107231840;30
STG;202107231850;19
STG;202107231900;9
STG;202107231910;2
STG;202107231920;0
STG;202107231930;0
STG;202107231940;0
STG;202107231950;0
STG;202107232000;0
STG;202107232010;0
STG;202107232020;0
STG;202107232030;0
STG;202107232040;0
STG;202107232050;0
STG;202107232100;0
STG;202107232110;0
STG;202107232120;0
STG;202107232130;0
STG;202107232140;0
STG;202107232150;0
STG;202107232200;0
STG;202107232210;0
STG;202107232220;0
STG;202107232230;0
STG;202107232240;0
STG;202107232250;0
STG;202107232300;0
STG;202107232310;0
STG;202107232320;0
STG;202107232330;0
STG;202107232340;0
STG;202107232350;0
STG;202107240000;0
STG;202107240010;0
STG;202107240020;0
STG;202107240030;0
STG;202107240040;0
STG;202107240050;0
STG;202107240100;0
STG;202107240110;0
STG;202107240120;0
STG;202107240130;0
STG;202107240140;0
STG;202107240150;0
STG;202107240200;0
STG;202107240210;0
STG;202107240220;0
STG;202107240230;0
STG;202107240240;0
STG;202107240250;0
STG;202107240300;0
STG;202107240310;0
STG;202107240320;0
STG;202107240330;0
STG;202107240340;0
STG;202107240350;1
STG;202107240400;3
STG;202107240410;8
STG;202107240420;10
STG;202107240430;14
STG;202107240440;27
STG;202107240450;44
STG;202107240500;36
STG;202107240510;17
STG;202107240520;22
STG;202107240530;26
STG;202107240540;33
STG;202107240550;41
STG;202107240600;53
STG;202107240610;52
STG;202107240620;64
STG;202107240630;109
STG;202107240640;151
STG;202107240650;171
STG;202107240700;119
STG;202107240710;168
STG;202107240720;222
STG;202107240730;183
STG;202107240740;149
STG;202107240750;237
STG;202107240800;150
STG;202107240810;131
STG;202107240820;182
STG;202107240830;309
STG;202107240840;608
STG;202107240850;632
STG;202107240900;602
STG;202107240910;715
STG;202107240920;719
STG;202107240930;567
STG;202107240940;527
STG;202107240950;702
STG;202107241000;654
STG;202107241010;795
STG;202107241020;819
STG;202107241030;758
STG;202107241040;705
STG;202107241050;709
STG;202107241100;726
STG;202107241110;786
STG;202107241120;760
STG;202107241130;764
STG;202107241140;765
STG;202107241150;620
STG;202107241200;595
STG;202107241210;532
STG;202107241220;582
STG;202107241230;647
STG;202107241240;806
STG;202107241250;714
STG;202107241300;490
STG;202107241310;448
STG;202107241320;422
STG;202107241330;706
STG;202107241340;656
STG;202107241350;619
STG;202107241400;574
STG;202107241410;533
STG;202107241420;237
STG;202107241430;126
STG;202107241440;175
STG;202107241450;437
STG;202107241500;506
STG;202107241510;147
STG;202107241520;126
STG;202107241530;69
STG;202107241540;17
STG;202107241550;3
STG;202107241600;0
STG;202107241610;0
STG;202107241620;0
STG;202107241630;1
STG;202107241640;1
STG;202107241650;4
STG;202107241700;7
STG;202107241710;10
STG;202107241720;22
STG;202107241730;46
STG;202107241740;52
STG;202107241750;33
STG;202107241800;18
STG;202107241810;8
STG;202107241820;8
STG;202107241830;5
STG;202107241840;2
STG;202107241850;0
STG;202107241900;0
STG;202107241910;0
STG;202107241920;0
STG;202107241930;0
STG;202107241940;0
STG;202107241950;0
STG;202107242000;0
STG;202107242010;0
STG;202107242020;0
STG;202107242030;0
STG;202107242040;0
STG;202107242050;0
STG;202107242100;0
STG;202107242110;0
STG;202107242120;0
STG;202107242130;0
STG;202107242140;0
STG;202107242150;0
STG;202107242200;0
STG;202107242210;0
STG;202107242220;0
STG;202107242230;0
STG;202107242240;0
STG;202107242250;0
STG;202107242300;0
STG;202107242310;0
STG;202107242320;0
STG;202107242330;0
STG;202107242340;0
STG;202107242350;0
STG;202107250000;0
STG;202107250010;0
STG;202107250020;0
STG;202107250030;0
STG;202107250040;0
STG;202107250050;0
STG;202107250100;0
STG;202107250110;0
STG;202107250120;0
STG;202107250130;0
STG;202107250140;0
STG;202107250150;0
STG;202107250200;0
STG;202107250210;0
STG;202107250220;0
STG;202107250230;0
STG;202107250240;0
STG;202107250250;0
STG;202107250300;0
STG;202107250310;0
STG;202107250320;0
STG;202107250330;0
STG;202107250340;0
STG;202107250350;0
STG;202107250400;0
STG;202107250410;6
STG;202107250420;14
STG;202107250430;29
STG;202107250440;42
STG;202107250450;32
STG;202107250500;48
STG;202107250510;61
STG;202107250520;62
STG;202107250530;53
STG;202107250540;73
STG;202107250550;120
STG;202107250600;175
STG;202107250610;251
STG;202107250620;183
STG;202107250630;109
STG;202107250640;136
STG;202107250650;143
STG;202107250700;441
STG;202107250710;411
STG;202107250720;387
STG;202107250730;412
STG;202107250740;542
STG;202107250750;366
STG;202107250800;342
STG;202107250810;275
STG;202107250820;256
STG;202107250830;247
STG;202107250840;97
STG;202107250850;88
STG;202107250900;98
STG;202107250910;122
STG;202107250920;87
STG;202107250930;97
STG;202107250940;95
STG;202107250950;115
STG;202107251000;122
STG;202107251010;157
STG;202107251020;151
STG;202107251030;124
STG;202107251040;140
STG;202107251050;191
STG;202107251100;367
STG;202107251110;481
STG;202107251120;471
STG;202107251130;696
STG;202107251140;505
STG;202107251150;67
STG;202107251200;29
STG;202107251210;31
STG;202107251220;12
STG;202107251230;2
STG;202107251240;0
STG;202107251250;0
STG;202107251300;27
STG;202107251310;118
STG;202107251320;220
STG;202107251330;565
STG;202107251340;718
STG;202107251350;731
STG;202107251400;306
STG;202107251410;244
STG;202107251420;148
STG;202107251430;109
STG;202107251440;107
STG;202107251450;176
STG;202107251500;269
STG;202107251510;217
STG;202107251520;159
STG;202107251530;109
STG;202107251540;188
STG;202107251550;294
STG;202107251600;168
STG;202107251610;98
STG;202107251620;78
STG;202107251630;71
STG;202107251640;66
STG;202107251650;73
STG;202107251700;59
STG;202107251710;40
STG;202107251720;25
STG;202107251730;13
STG;202107251740;9
STG;202107251750;11
STG;202107251800;17
STG;202107251810;14
STG;202107251820;21
STG;202107251830;29
STG;202107251840;13
STG;202107251850;9
STG;202107251900;3
STG;202107251910;0
STG;202107251920;0
STG;202107251930;0
STG;202107251940;0
STG;202107251950;0
STG;202107252000;0
STG;202107252010;0
STG;202107252020;0
STG;202107252030;0
STG;202107252040;0
STG;202107252050;0
STG;202107252100;0
STG;202107252110;0
STG;202107252120;0
STG;202107252130;0
STG;202107252140;0
STG;202107252150;0
STG;202107252200;0
STG;202107252210;0
STG;202107252220;0
STG;202107252230;0
STG;202107252240;0
STG;202107252250;0
STG;202107252300;0
STG;202107252310;0
STG;202107252320;0
STG;202107252330;0
STG;202107252340;0
STG;202107252350;0
STG;202107260000;0
STG;202107260010;0
STG;202107260020;0
STG;202107260030;0
STG;202107260040;0
STG;202107260050;0
STG;202107260100;0
STG;202107260110;0
STG;202107260120;0
STG;202107260130;0
STG;202107260140;0
STG;202107260150;0
STG;202107260200;0
STG;202107260210;0
STG;202107260220;0
STG;202107260230;0
STG;202107260240;0
STG;202107260250;0
STG;202107260300;0
STG;202107260310;0
STG;202107260320;0
STG;202107260330;0
STG;202107260340;0
STG;202107260350;0
STG;202107260400;1
STG;202107260410;4
STG;202107260420;7
STG;202107260430;11
STG;202107260440;20
STG;202107260450;27
STG;202107260500;32
STG;202107260510;39
STG;202107260520;63
STG;202107260530;86
STG;202107260540;241
STG;202107260550;319
STG;202107260600;285
STG;202107260610;374
STG;202107260620;392
STG;202107260630;235
STG;202107260640;298
STG;202107260650;226
STG;202107260700;272
STG;202107260710;404
STG;202107260720;271
STG;202107260730;199
STG;202107260740;251
STG;202107260750;271
STG;202107260800;222
STG;202107260810;201
STG;202107260820;142
STG;202107260830;169
STG;202107260840;174
STG;202107260850;202
STG;202107260900;212
STG;202107260910;164
STG;202107260920;193
STG;202107260930;169
STG;202107260940;123
STG;202107260950;108
STG;202107261000;130
STG;202107261010;367
STG;202107261020;446
STG;202107261030;784
STG;202107261040;945
STG;202107261050;693
STG;202107261100;959
STG;202107261110;562
STG;202107261120;511
STG;202107261130;360
STG;202107261140;213
STG;202107261150;231
STG;202107261200;335
STG;202107261210;381
STG;202107261220;643
STG;202107261230;895
STG;202107261240;937
STG;202107261250;925
STG;202107261300;421
STG;202107261310;758
STG;202107261320;189
STG;202107261330;169
STG;202107261340;147
STG;202107261350;76
STG;202107261400;32
STG;202107261410;15
STG;202107261420;10
STG;202107261430;1
STG;202107261440;0
STG;202107261450;4
STG;202107261500;30
STG;202107261510;90
STG;202107261520;124
STG;202107261530;342
STG;202107261540;176
STG;202107261550;136
STG;202107261600;114
STG;202107261610;75
STG;202107261620;71
STG;202107261630;77
STG;202107261640;33
STG;202107261650;25
STG;202107261700;18
STG;202107261710;25
STG;202107261720;32
STG;202107261730;20
STG;202107261740;13
STG;202107261750;18
STG;202107261800;43
STG;202107261810;69
STG;202107261820;69
STG;202107261830;53
STG;202107261840;19
STG;202107261850;3
STG;202107261900;0
STG;202107261910;0
STG;202107261920;0
STG;202107261930;0
STG;202107261940;0
STG;202107261950;0
STG;202107262000;0
STG;202107262010;0
STG;202107262020;0
STG;202107262030;0
STG;202107262040;0
STG;202107262050;0
STG;202107262100;0
STG;202107262110;0
STG;202107262120;0
STG;202107262130;0
STG;202107262140;0
STG;202107262150;0
STG;202107262200;0
STG;202107262210;0
STG;202107262220;0
STG;202107262230;0
STG;202107262240;0
STG;202107262250;0
STG;202107262300;0
STG;202107262310;0
STG;202107262320;0
STG;202107262330;0
STG;202107262340;0
STG;202107262350;0
STG;202107270000;0
STG;202107270010;0
STG;202107270020;0
STG;202107270030;0
STG;202107270040;0
STG;202107270050;0
STG;202107270100;0
STG;202107270110;0
STG;202107270120;0
STG;202107270130;0
STG;202107270140;0
STG;202107270150;0
STG;202107270200;0
STG;202107270210;0
STG;202107270220;0
STG;202107270230;0
STG;202107270240;0
STG;202107270250;0
STG;202107270300;0
STG;202107270310;0
STG;202107270320;0
STG;202107270330;0
STG;202107270340;0
STG;202107270350;0
STG;202107270400;1
STG;202107270410;4
STG;202107270420;9
STG;202107270430;22
STG;202107270440;47
STG;202107270450;73
STG;202107270500;95
STG;202107270510;120
STG;202107270520;147
STG;202107270530;173
STG;202107270540;200
STG;202107270550;228
STG;202107270600;252
STG;202107270610;280
STG;202107270620;295
STG;202107270630;312
STG;202107270640;370
STG;202107270650;389
STG;202107270700;434
STG;202107270710;466
STG;202107270720;490
STG;202107270730;485
STG;202107270740;527
STG;202107270750;553
STG;202107270800;539
STG;202107270810;622
